time/iterations,time/total_timesteps,time/time_elapsed,train/mean_reward,time/fps,train/reward,train/clip_fraction,train/loss,train/approx_kl,train/explained_variance,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/std,train/value_loss,train/clip_range,train/entropy_loss
10,51200,127,0.09527168,160,-7.7499323,0.120849609375,37.312259674072266,0.013185093,0.0037428736686706543,240,0.0001,-0.016997834685025737,1.0152764320373535,76.0487325668335,0.2,-41.573630571365356
11,53248,139,0.09570129,161,1.1803732,0.14052734375,22.746719360351562,0.012081728,-0.007652759552001953,250,0.0001,-0.015880744170135585,1.0166019201278687,42.55540878772736,0.2,-41.60762093067169
12,55296,151,0.09674612,162,-2.258141,0.136572265625,36.244571685791016,0.014846862,-0.0005224943161010742,260,0.0001,-0.016907325679494534,1.0175070762634277,123.64206523895264,0.2,-41.636383748054506
13,57344,162,0.09651478,163,0.031402633,0.09814453125,41.383419036865234,0.011755101,0.012914896011352539,270,0.0001,-0.014032149111153558,1.018553614616394,107.02894351482391,0.2,-41.66618444919586
14,59392,174,0.09647102,164,-1.2170933,0.09228515625,89.70455932617188,0.011507265,-0.0008753538131713867,280,0.0001,-0.014454848972673063,1.0197020769119263,78.92629001140594,0.2,-41.69507262706757
15,61440,185,0.097091414,165,0.33913696,0.067626953125,15.57552433013916,0.009599527,0.013851523399353027,290,0.0001,-0.0139616952103097,1.020269513130188,23.858201479911806,0.2,-41.721021032333375
1,63488,11,0.098204665,181,0.22208661,0.073828125,69.50184631347656,0.009511956,0.011789023876190186,300,0.0001,-0.00988618927949574,1.021408200263977,117.28500969409943,0.2,-41.744040846824646
2,65536,22,0.099159986,180,4.984324,0.081494140625,32.63020706176758,0.010672532,0.010467469692230225,310,0.0001,-0.007965676581807201,1.0220783948898315,88.33705427646638,0.2,-41.76978359222412
3,67584,34,0.0991125,178,-0.59065527,0.1513671875,12.91158390045166,0.015186647,0.008696317672729492,320,0.0001,-0.011824347820947878,1.0227771997451782,30.440734803676605,0.2,-41.79056987762451
4,69632,45,0.099345446,178,1.5120862,0.05810546875,17.9726619720459,0.0089778565,-0.0016366243362426758,330,0.0001,-0.010276468427036889,1.0238784551620483,89.42257421016693,0.2,-41.81079566478729
5,71680,57,0.10188503,178,-0.11130126,0.0380859375,109.92442321777344,0.006741073,0.0072898268699646,340,0.0001,-0.006625989540771116,1.0242136716842651,168.30198528766633,0.2,-41.83712992668152
6,73728,70,0.10009937,174,5.4195776,0.11826171875,105.79667663574219,0.010770346,0.013005733489990234,350,0.0001,-0.009794018807588145,1.0252952575683594,131.54658975601197,0.2,-41.85440485477447
7,75776,84,0.10066484,169,1.0294567,0.1470703125,12.077186584472656,0.014445731,0.005127966403961182,360,0.0001,-0.014162899801158346,1.0285240411758423,22.804347151517867,0.2,-41.91737875938416
8,77824,97,0.101306796,167,-1.026462,0.06865234375,139.9510040283203,0.009420063,-3.337860107421875e-06,370,0.0001,-0.008324888911738526,1.0292075872421265,135.50434086322784,0.2,-41.972231817245486
9,79872,112,0.10167687,164,-2.2535863,0.0697265625,83.52523803710938,0.009663895,-0.015207171440124512,380,0.0001,-0.006453264827723615,1.029747486114502,130.92778513431549,0.2,-41.98710827827453
10,81920,126,0.10107211,161,0.50780195,0.070263671875,14.461301803588867,0.011129389,0.026238083839416504,390,0.0001,-0.008890369485015981,1.030133843421936,37.87737898826599,0.2,-42.00435471534729
11,83968,138,0.10168828,162,2.3811474,0.101318359375,40.08688735961914,0.01124255,0.08939951658248901,400,0.0001,-0.013465087834629231,1.0308283567428589,117.14570068120956,0.2,-42.017515206336974
12,86016,151,0.10299263,162,-0.17398193,0.0708984375,65.44583129882812,0.010210836,0.024225234985351562,410,0.0001,-0.01167260690126568,1.031409740447998,138.26420984268188,0.2,-42.032981514930725
13,88064,162,0.10328033,163,-1.6676106,0.12294921875,82.49517059326172,0.01227986,-0.0011382102966308594,420,0.0001,-0.011079811169474851,1.0321851968765259,145.3519449710846,0.2,-42.05521738529205
