time/episodes,train/n_updates,train/learning_rate,train/critic_loss,train/reward,time/total_timesteps,time/time_elapsed,time/fps,train/actor_loss
4,8586,0.001,229.75721022001434,2.440315,11448,191,59,-11.172597869344258
8,20034,0.001,60.99069242474085,2.440315,22896,413,55,-6.10712371436732
12,31482,0.001,19.262833519301825,2.440315,34344,636,53,-0.7693088598083867
16,42930,0.001,11.102281081934729,2.440315,45792,861,53,3.4040162355159387
