train/explained_variance,train/n_updates,train/policy_loss,time/total_timesteps,time/fps,train/learning_rate,train/entropy_loss,train/std,time/iterations,time/time_elapsed,train/reward,train/value_loss,train/mean_reward
-1.1920928955078125e-07,96799,123.0179672241211,484000,135,0.0001,-41.13350296020508,0.9998420476913452,800,29,16.433748,28.86867904663086,0.13173099
0.0,96899,-576.3509521484375,484500,136,0.0001,-41.14075469970703,1.0000826120376587,900,33,19.85759,297.289794921875,0.13190459
0.0,96999,-148.50315856933594,485000,136,0.0001,-41.145877838134766,1.0002505779266357,1000,36,-1.8246095,14.343168258666992,0.13197242
0.0,97099,-72.59578704833984,485500,137,0.0001,-41.151588439941406,1.0004385709762573,1100,40,3.8589263,5.307438850402832,0.13199437
-0.010747194290161133,97199,250.64926147460938,486000,138,0.0001,-41.13526153564453,0.9999155402183533,1200,43,2.2409048,43.56869888305664,0.13207568
5.960464477539063e-08,97299,-142.8332061767578,486500,138,0.0001,-41.13063430786133,0.9997594952583313,1300,46,2.3203602,13.1181058883667,0.1320577
0.002936840057373047,97399,-188.08287048339844,487000,138,0.0001,-41.12894821166992,0.9996820688247681,1400,50,-2.920326,80.69860076904297,0.13236967
0.039568305015563965,97499,62.11931610107422,487500,137,0.0001,-41.11986541748047,0.9993477463722229,1500,54,-0.53014654,2.876551628112793,0.13260712
0.12901753187179565,97599,-12.845110893249512,488000,137,0.0001,-41.128204345703125,0.9996351599693298,1600,58,-0.5951936,0.6699497103691101,0.13255748
0.0,97699,-78.50245666503906,488500,137,0.0001,-41.12251663208008,0.9994755387306213,1700,61,2.0880537,11.508981704711914,0.1326299
1.1920928955078125e-07,97799,-78.480224609375,489000,137,0.0001,-41.12522506713867,0.9995473623275757,1800,65,-0.24080049,7.545646667480469,0.132667
0.0,97899,104.88519287109375,489500,136,0.0001,-41.12974166870117,0.999697744846344,1900,69,2.560884,6.971998691558838,0.13272929
0.0,97999,12.9610013961792,490000,136,0.0001,-41.120201110839844,0.9993207454681396,2000,73,-2.9184847,23.665088653564453,0.1331267
-0.03838777542114258,98099,22.607980728149414,490500,136,0.0001,-41.11372375488281,0.9991341829299927,2100,76,0.8043776,0.7900694012641907,0.13324125
0.09170973300933838,98199,45.176326751708984,491000,136,0.0001,-41.110382080078125,0.9990729689598083,2200,80,-1.2722458,4.5169758796691895,0.13317646
1.7881393432617188e-07,98299,-70.95275115966797,491500,136,0.0001,-41.11721420288086,0.9992886781692505,2300,84,-2.259394,3.628659725189209,0.13324712
0.0,98399,-64.25068664550781,492000,136,0.0001,-41.10734939575195,0.9989761114120483,2400,87,7.7483253,4.180963516235352,0.13327104
1.1920928955078125e-07,98499,169.81494140625,492500,136,0.0001,-41.099422454833984,0.9986500144004822,2500,91,-9.093226,47.70084762573242,0.13345085
-1.1920928955078125e-07,98599,36.621665954589844,493000,137,0.0001,-41.100128173828125,0.9986467957496643,2600,94,3.980849,2.9221158027648926,0.133854
0.0,98699,-155.4532012939453,493500,137,0.0001,-41.10493469238281,0.9988052248954773,2700,98,0.5191552,13.159683227539062,0.13385156
0.013882815837860107,98799,102.48812103271484,494000,137,0.0001,-41.10396957397461,0.9987941384315491,2800,101,-1.6031399,8.295148849487305,0.13386463
0.0760120153427124,98899,-119.24296569824219,494500,137,0.0001,-41.1044921875,0.9988569021224976,2900,105,0.15572546,12.35255241394043,0.1338872
